=== Using options:--aggressive-branch-removal
0804A60C: warning: Unable to resolve imported reference atof.
0804A81C: warning: Unable to resolve imported reference lame_get_exp_nspsytune.
0804A46C: warning: Unable to resolve imported reference lame_set_exp_nspsytune.
0804A81C: warning: Unable to resolve imported reference lame_get_exp_nspsytune.
0804A46C: warning: Unable to resolve imported reference lame_set_exp_nspsytune.
0804A81C: warning: Unable to resolve imported reference lame_get_exp_nspsytune.
0804A46C: warning: Unable to resolve imported reference lame_set_exp_nspsytune.
0804AA9C: warning: Unable to resolve imported reference lame_get_VBR_q.
0804A0AC: warning: Unable to resolve imported reference popen.
0804AAAC: warning: Unable to resolve imported reference pclose.
0804A60C: warning: Unable to resolve imported reference atof.
0804A60C: warning: Unable to resolve imported reference atof.
0804A52C: warning: Unable to resolve imported reference lame_set_athaa_sensitivity.
0804A3AC: warning: Unable to resolve imported reference hip_decode1_headers.
0804A3AC: warning: Unable to resolve imported reference hip_decode1_headers.
0804A8CC: warning: Unable to resolve imported reference hip_decode_exit.
0804A3AC: warning: Unable to resolve imported reference hip_decode1_headers.
0804A8CC: warning: Unable to resolve imported reference hip_decode_exit.
0804A8CC: warning: Unable to resolve imported reference hip_decode_exit.
0804A76C: warning: Unable to resolve imported reference hip_decode_init.
0804AA2C: warning: Unable to resolve imported reference hip_decode1_headersB.
0804AA2C: warning: Unable to resolve imported reference hip_decode1_headersB.
0804A87C: warning: Unable to resolve imported reference lame_set_num_samples.
0804A0BC: warning: Unable to resolve imported reference lame_set_num_channels.
0804A0BC: warning: Unable to resolve imported reference lame_set_num_channels.
0804A93C: warning: Unable to resolve imported reference lame_set_in_samplerate.
0804A87C: warning: Unable to resolve imported reference lame_set_num_samples.
0804A0BC: warning: Unable to resolve imported reference lame_set_num_channels.
0804A93C: warning: Unable to resolve imported reference lame_set_in_samplerate.
0804A87C: warning: Unable to resolve imported reference lame_set_num_samples.
0804A20C: warning: Unable to resolve imported reference lame_get_num_samples.
0804A06C: warning: Unable to resolve imported reference lame_get_in_samplerate.
0804A87C: warning: Unable to resolve imported reference lame_set_num_samples.
0804A93C: warning: Unable to resolve imported reference lame_set_in_samplerate.
0804A87C: warning: Unable to resolve imported reference lame_set_num_samples.
0804A75C: warning: Unable to resolve imported reference lame_get_num_channels.
0804A87C: warning: Unable to resolve imported reference lame_set_num_samples.
0804A75C: warning: Unable to resolve imported reference lame_get_num_channels.
0804A06C: warning: Unable to resolve imported reference lame_get_in_samplerate.
0804A75C: warning: Unable to resolve imported reference lame_get_num_channels.
0804A5FC: warning: Unable to resolve imported reference lame_get_framesize.
0804A20C: warning: Unable to resolve imported reference lame_get_num_samples.
0804A3DC: warning: Unable to resolve imported reference tgetent.
0804A79C: warning: Unable to resolve imported reference tgetnum.
0804A79C: warning: Unable to resolve imported reference tgetnum.
0804A97C: warning: Unable to resolve imported reference tgetstr.
0804A97C: warning: Unable to resolve imported reference tgetstr.
0804A97C: warning: Unable to resolve imported reference tgetstr.
0804A97C: warning: Unable to resolve imported reference tgetstr.
0804A9CC: warning: Unable to resolve imported reference lame_init.
0804A44C: warning: Unable to resolve imported reference lame_set_errorf.
0804A21C: warning: Unable to resolve imported reference lame_set_debugf.
0804A6BC: warning: Unable to resolve imported reference lame_set_msgf.
0804A3BC: warning: Unable to resolve imported reference lame_close.
0804A3BC: warning: Unable to resolve imported reference lame_close.
0804A30C: warning: Unable to resolve imported reference lame_get_decode_only.
0804A3BC: warning: Unable to resolve imported reference lame_close.
0804A2AC: warning: Unable to resolve imported reference lame_set_write_id3tag_automatic.
0804A7CC: warning: Unable to resolve imported reference lame_init_params.
0804A3BC: warning: Unable to resolve imported reference lame_close.
0804A30C: warning: Unable to resolve imported reference lame_get_decode_only.
0804A75C: warning: Unable to resolve imported reference lame_get_num_channels.
0804A06C: warning: Unable to resolve imported reference lame_get_in_samplerate.
0804A95C: warning: Unable to resolve imported reference lame_get_out_samplerate.
0804A20C: warning: Unable to resolve imported reference lame_get_num_samples.
0804A7AC: warning: Unable to resolve imported reference lame_get_version.
0804A06C: warning: Unable to resolve imported reference lame_get_in_samplerate.
0804A3FC: warning: Unable to resolve imported reference lame_get_encoder_delay.
0804A95C: warning: Unable to resolve imported reference lame_get_out_samplerate.
0804A7AC: warning: Unable to resolve imported reference lame_get_version.
