=== Using options:--aggressive-branch-removal
subject.exe: warning: Win32 X86-64 main procedure finder not implemented yet.
MSVC RTTI scan found 151 complete object locators
00000001400B101D: warning: Unable to resolve imported reference SHLWAPI.dll!PathIsDirectoryW.
000000014007CF85: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_71.
000000014007CF85: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_71.
000000014007D00F: warning: Unable to resolve imported reference SHLWAPI.dll!PathAppendW.
000000014007D066: warning: Unable to resolve imported reference SHLWAPI.dll!StrCmpW.
000000014007D07B: warning: Unable to resolve imported reference SHLWAPI.dll!PathAppendW.
000000014007D0A1: warning: Unable to resolve imported reference SHLWAPI.dll!PathRemoveFileSpecW.
00000001400927C7: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
00000001400927C7: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
00000001400B4714: warning: Unable to resolve imported reference SHELL32.dll!SHGetFolderLocation.
00000001400D8D5A: warning: Unable to resolve imported reference SHELL32.dll!SHGetFolderLocation.
00000001400D8D76: warning: Unable to resolve imported reference SHELL32.dll!SHGetFolderLocation.
00000001400D8D91: warning: Unable to resolve imported reference SHELL32.dll!SHGetFolderLocation.
00000001400D8DAC: warning: Unable to resolve imported reference SHELL32.dll!SHGetFolderLocation.
00000001400D8DC8: warning: Unable to resolve imported reference SHELL32.dll!SHGetFolderLocation.
00000001400D8DE4: warning: Unable to resolve imported reference SHELL32.dll!SHGetFolderLocation.
00000001400D8DEF: warning: Unable to resolve imported reference SHELL32.dll!SHGetDesktopFolder.
00000001400B0A53: warning: Unable to resolve imported reference PSAPI.DLL!GetModuleFileNameExW.
00000001400D3836: warning: Unable to resolve imported reference SHLWAPI.dll!PathStripPathW.
00000001400D3847: warning: Unable to resolve imported reference SHLWAPI.dll!PathAppendW.
00000001400D3881: warning: Unable to resolve imported reference SHLWAPI.dll!PathRenameExtensionW.
0000000140092A16: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
0000000140092A16: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
00000001400928DD: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
00000001400928DD: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
00000001400D89B0: warning: Unable to resolve imported reference PSAPI.DLL!GetModuleFileNameExW.
00000001400D89C6: warning: Unable to resolve imported reference SHLWAPI.dll!PathRemoveFileSpecW.
00000001400D89DA: warning: Unable to resolve imported reference SHLWAPI.dll!PathAppendW.
00000001400D3618: warning: Unable to resolve imported reference SHELL32.dll!SHBrowseForFolderW.
00000001400D3639: warning: Unable to resolve imported reference SHELL32.dll!SHGetPathFromIDListW.
000000014009337D: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
000000014009337D: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
0000000140081894: warning: Unable to resolve imported reference SHELL32.dll!SHGetSpecialFolderPathW.
00000001400818B0: warning: Unable to resolve imported reference SHLWAPI.dll!PathCombineW.
00000001400D7ACE: warning: Unable to resolve imported reference SHLWAPI.dll!StrCmpW.
00000001400B1177: warning: Unable to resolve imported reference PSAPI.DLL!GetModuleFileNameExW.
00000001400DAA16: warning: Unable to resolve imported reference USER32.dll!SetWindowLongPtrW.
00000001400D70EF: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_71.
00000001400D70EF: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_71.
00000001400C3967: warning: Unable to resolve imported reference SHELL32.dll!SHBindToParent.
00000001400C39A3: warning: Unable to resolve imported reference SHLWAPI.dll!StrRetToBufW.
00000001400D68D8: warning: Unable to resolve imported reference SHLWAPI.dll!StrCmpW.
00000001400D691B: warning: Unable to resolve imported reference SHLWAPI.dll!StrCmpW.
00000001400D6990: warning: Unable to resolve imported reference SHLWAPI.dll!PathAppendW.
0000000140083515: warning: Unable to resolve imported reference SHLWAPI.dll!PathStripToRootW.
00000001400D2BD1: warning: Unable to resolve imported reference SHELL32.dll!SHBrowseForFolderW.
00000001400D2A49: warning: Unable to resolve imported reference COMCTL32.dll!Ordinal_412.
00000001400D2A49: warning: Unable to resolve imported reference COMCTL32.dll!Ordinal_412.
00000001400D29F7: warning: Unable to resolve imported reference COMCTL32.dll!Ordinal_410.
00000001400D29F7: warning: Unable to resolve imported reference COMCTL32.dll!Ordinal_410.
00000001400D27FB: warning: Unable to resolve imported reference COMCTL32.dll!Ordinal_413.
00000001400D27FB: warning: Unable to resolve imported reference COMCTL32.dll!Ordinal_413.
00000001400D21B5: warning: Unable to resolve imported reference PSAPI.DLL!GetModuleFileNameExW.
00000001400D1F59: warning: Unable to resolve imported reference PSAPI.DLL!GetModuleFileNameExW.
00000001400D1D6D: warning: Unable to resolve imported reference SHLWAPI.dll!SHDeleteKeyW.
00000001400D1C24: warning: Unable to resolve imported reference SHLWAPI.dll!SHDeleteKeyW.
000000014007E640: warning: Unable to resolve imported reference SHELL32.dll!SHGetFolderLocation.
000000014007E6A0: warning: Unable to resolve imported reference SHELL32.dll!SHGetFolderLocation.
000000014007E700: warning: Unable to resolve imported reference SHELL32.dll!SHGetFolderLocation.
000000014007E760: warning: Unable to resolve imported reference SHELL32.dll!SHGetFolderLocation.
000000014007E7C0: warning: Unable to resolve imported reference SHELL32.dll!SHGetFolderLocation.
000000014007E820: warning: Unable to resolve imported reference SHELL32.dll!SHGetFolderLocation.
000000014007E880: warning: Unable to resolve imported reference SHELL32.dll!SHGetFolderLocation.
000000014007E8E0: warning: Unable to resolve imported reference SHELL32.dll!SHGetFolderLocation.
000000014007E942: warning: Unable to resolve imported reference SHELL32.dll!SHGetFolderLocation.
000000014007E9A4: warning: Unable to resolve imported reference SHELL32.dll!SHGetFolderLocation.
00000001400CE1B9: warning: Unable to resolve imported reference SHLWAPI.dll!PathStripPathW.
00000001400CE1D0: warning: Unable to resolve imported reference SHLWAPI.dll!PathRemoveExtensionW.
00000001400CE10E: warning: Unable to resolve imported reference SHLWAPI.dll!StrCatW.
00000001400CD069: warning: Unable to resolve imported reference USERENV.dll!ExpandEnvironmentStringsForUserW.
00000001400CCF2D: warning: Unable to resolve imported reference USERENV.dll!ExpandEnvironmentStringsForUserW.
00000001400CD211: warning: Unable to resolve imported reference USERENV.dll!ExpandEnvironmentStringsForUserW.
00000001400CA1AF: warning: Unable to resolve imported reference SHLWAPI.dll!PathIsDirectoryW.
