Analyzing './from_snowman/other-030_hello/x64_elf/subject.exe' as a x86_64 32 PECOFF binary file.

Decompiling 17/45: 0x00402400
Decompiling 18/45: 0x00402480
Decompiling 19/45: 0x00402500
Decompiling 20/45: 0x00402590
Decompiling 21/45: 0x00402660
Decompiling 22/45: 0x00402710
Decompiling 23/45: 0x00402730
Decompiling 24/45: 0x00402900
Decompiling 25/45: 0x00402A90
Decompiling 26/45: 0x00402B30
Decompiling 27/45: 0x00402B88
Decompiling 28/45: 0x00402B90
Decompiling 29/45: 0x00402B98
Decompiling 30/45: 0x00402BA0
Decompiling 31/45: 0x00402BA8
Decompiling 32/45: 0x00402BB0
Decompiling 33/45: 0x00402BB8
Decompiling 34/45: 0x00402BD0
Decompiling 35/45: 0x00402BD8
Decompiling 36/45: 0x00402BE0
Decompiling 37/45: 0x00402BE8
Decompiling 38/45: 0x00402BF8
Decompiling 39/45: 0x00402C00
Decompiling 40/45: 0x00402C08
Decompiling 41/45: 0x00402C10
Decompiling 42/45: 0x00402C18
Decompiling 43/45: 0x00402C20
Decompiling 44/45: 0x00402C28
Decompiling 45/45: 0x00402C30
Decompiling 45/45: 0x00402C30

